,Author,Books,Year Published,Pages
0,Megan Knight,Great Gatsby,1971,3531
1,Jacqueline Brown,Maze Runner,1945,4275
2,Thomas Simmons,Glass Castle,1863,3906
3,Sherry Bennett,Last Train Home,1543,3277
4,Anthony Lee,Alchemist,1598,1143
5,Dana Huff,Alchemist,1576,4658
6,Albert Mills,Blood of Our Fathers,1558,1735
7,Leah Manning,Secret Society,1912,3019
8,Wayne Morrison,Tears of the Moon,1512,502
9,Ted Smith,Glass Castle,1650,1460
10,Wilma Jackson,Alchemist,1932,3149
11,Michael Martinez,Book Thief,1992,2481
12,Thomas Simmons,Emerald Isle,1519,1110
13,Barbara Farmer,Wonders of the World,1592,465
14,Charles Johnson,Dark Tower,1809,1440
15,Paul Graham,Song of Ice and Fire,1973,1706
16,Kimberly Medina,Last Train Home,1569,3774
17,John Thomas,Night Circus,1928,967
18,Edward May,Tears of the Moon,1854,2425
19,Alberto Brown,Forbidden Forest,1967,3596
20,Michael Patterson,Whispering Wind,1526,4592
21,Christine Miles,Secret Life of Bees,1851,1260
22,Thomas Cain,Glass Castle,1928,4414
23,Lisa Rios,Secrets We Keep,1811,4576
24,Judy Rose,Road,1647,875
25,Diana Terry,Alchemist,1556,4740
26,Tracey Walker,Book of Miracles,1554,360
27,Edward May,Queen's Necklace,1662,2007
28,Timothy Griffin,Island of Secrets,1974,1727
29,Cindy Gilbert,Enchanted Princess,1553,3990
30,John Ryan,Secret Life of Bees,1643,787
31,Jacqueline Brown,Midnight Serenade,1600,4121
32,Thomas Cain,Last Voyage,1989,3902
33,Albert Mills,Hunger Games,1726,4221
34,Cindy Gilbert,Beyond the Horizon,1556,4867
35,Robert Evans,In the Arms of the Sea,1583,2039
36,Timothy Griffin,Forbidden Forest,1835,2659
37,Wendy Walton,Night Circus,1849,1748
38,Hazel Greer,Moonlit Path,1909,3716
39,Robert Evans,Knight's Code,1661,1002
40,Beatrice Ortiz,Golden Compass,1826,794
41,Juan Thompson,Blood Red Rose,1539,2540
42,Wendy Walton,Lovely Bones,1868,2638
43,Eva Wright,Valley of Dreams,1671,2745
44,Patricia Meyer,Silence of the Lambs,1884,2021
45,Michelle Johnson,Dragon's Lair,1501,4514
46,Ernest Torres,Dragon's Eye,1874,689
47,Sandra Craig,Maze Runner,1817,2629
48,Virginia Jackson,Enchanted Princess,1560,1781
49,Judy Rose,Lost Kingdom,1891,1415
50,Tyrone Evans,Blood Red Rose,1731,839
51,Diana Terry,Sands of Time,2010,320
52,Patrick Hall,Warrior's Heart,1558,1956
53,Gary Johnson,Great Gatsby,1611,2401
54,Edward May,Alchemist,2022,1543
55,John Thomas,Fire Within,1646,4222
56,Janet Baldwin,Emerald Isle,1864,959
57,Wayne Morrison,Song of Achilles,2017,1553
58,Mary Abbott,In the Arms of the Sea,1505,3180
59,Ann Henderson,Witch of Blackbird Pond,1959,4291
60,Victoria Brown,Emerald City,1982,4294
61,Delores Brown,Lord of the Rings,1676,1318
62,Erin Gonzales,Road,1604,1748
63,Ann Henderson,Golden Child,1728,1488
64,Randy Parker,Art of Deception,1707,588
65,John Thomas,Book of Miracles,1613,2056
