,Author,Books,Year Published,Pages
0,Michelle Johnson,Hunger Games,1864,4289
1,Michael Martinez,Blood Red Rose,1797,1804
2,Lauren Holland,Secret Society,1761,2920
3,Janet Baldwin,Whispering Wind,1572,4184
4,Teresa Ray,Crystal Caves,1576,1060
5,Patricia Simpson,Warrior's Heart,1689,2380
6,Timothy Griffin,Witch of Blackbird Pond,1764,3988
7,Thomas Cain,Silent Forest,1852,1728
8,Carole Kelly,In the Arms of the Sea,1763,1601
9,Michael Patterson,Girl with the Dragon Tattoo,2018,1362
10,James Hill,Book of Miracles,1600,4978
11,William Ortiz,Dark Tower,1631,2957
12,Connie Howell,Curse of the Pharaohs,1888,4906
13,Anthony Lee,Rising Sun,1568,1452
14,Albert Mills,Fault in Our Stars,1756,975
15,Albert Mills,Pirate's Treasure,1505,4437
16,Richard Freeman,Last Train Home,1508,975
17,Diane Robbins,Black Cat,1963,4591
18,Kimberly Medina,Girl with the Dragon Tattoo,1900,1518
19,William Doyle,Forbidden Forest,1967,4041
20,Richard Freeman,Silver Lining,1771,4217
21,Lisa Rios,Golden Child,1541,1159
22,John Ryan,Shac,1690,265
23,Kenneth May,Ruby Red Door,1950,1948
24,Barbara Farmer,Dragon's Lair,1997,3103
25,Dana Huff,Midnight Garden,1645,529
26,Michelle Wis,Golden Child,1972,1980
27,Mary Graham,In the Arms of the Sea,1572,4240
28,James Ross,Beyond the Horizon,1630,2453
29,Alberto Brown,Girl with the Sapphire Eyes,1829,4557
30,Wilma Jackson,Song of Ice and Fire,1671,233
31,Tyrone Evans,Catcher in the Rye,1925,3688
32,William Doyle,Emerald City,1683,1631
33,Carole Kelly,Dragon's Roar,1992,4037
34,Ella Harrison,Lost City of Atlantis,1684,3797
35,Connie Howell,Secret Life of Bees,1587,2935
36,Victoria Brown,Da Vinci Code,1726,1891
37,Tyrone Evans,Fault in Our Stars,1688,4183
38,Wayne Morrison,Hunger Games,1590,4678
39,Randy Parker,Lord of the Rings,1866,627
40,Melissa Hall,Silence of the Lambs,1892,2554
41,Carole Kelly,Ruby Red Door,1613,3781
42,Michelle Wis,Sands of Time,1595,2525
43,Timothy Griffin,Lovely Bones,1532,2386
44,Linda Ward,Shac,1785,249
45,Teresa Ray,Fire Within,1982,1813
46,Jeffrey Bowers,Martian,1689,2962
47,Hazel Greer,Emerald Isle,1731,2644
48,Ted Smith,Dragon's Roar,1541,3589
49,Frances Rose,Blood Red Rose,1748,1167
50,Thomas Simmons,Crystal Caves,1701,4235
51,James Hill,Lost Kingdom,1593,4176
52,Patricia Meyer,Midnight Serenade,1751,523
53,Jessie Bowman,Clockwork Angel,1552,3274
54,John Thomas,Last Voyage,1824,786
55,Eva Wright,Warrior's Heart,1500,899
56,Diane Robbins,Tears of the Moon,1674,830
57,Daniel Craig,Fire Within,1726,3514
58,Howard Jenkins,Golden Child,1784,289
59,James Ross,Valley of Dreams,1624,1842
60,William Hamilton,Catcher in the Rye,2013,1886
61,Thomas Simmons,Hunger Games,1607,1113
62,Helen Hernandez,Queen's Necklace,1951,1330
63,Patrick Hall,Phantom of the Opera,1539,3592
64,Sandra Craig,Da Vinci Code,1519,1453
65,Lisa Rios,Midnight Garden,1963,4765
66,Diane Robbins,Giver,1586,1301
67,Derrick Brady,Crown of Thorns,1583,1712
68,Jeffrey Williams,Night Circus,1769,4213
69,Thomas Cain,Catcher in the Rye,1544,1358
70,Ashley Doyle,Edge of Tomorrow,1893,4367
71,Mary Abbott,Forgotten Realm,1563,4250
72,Rosemary Wright,Black Cat,1816,2202
73,Lisa Rios,Secret Society,1942,1264
74,Nancy Horton,Tears of the Moon,1554,2628
75,Laura Hernandez,Catcher in the Rye,1998,3233
76,Carole Kelly,Enchanted Castle,1971,4729
77,Bernard Brown,Rising Sun,1952,4681
78,Janet Baldwin,Giver,1754,3577
79,Eva Wright,Valley of Dreams,2017,3352
80,Lauren Holland,River of Dreams,1764,1757
81,Alberto Brown,Island of Secrets,1973,4285
82,Lauren Holland,Cursed Castle,1518,4369
83,Timothy Griffin,Road,1893,1016
84,Kimberly Medina,Mask of Deception,1511,1378
85,Maria Webb,Hunger Games,1676,4778
86,Ella Harrison,Emerald Isle,1626,2162
87,Kimberly Medina,Last Voyage,1761,4435
88,Lauren Holland,Mask of Deception,1898,2914
89,Carole Kelly,Da Vinci Code,2005,1257
90,Beatrice Ortiz,Secret Garden,1797,870
91,Wendy Walton,Shadow of the Moon,1935,3389
92,Kimberly Medina,Shadow of the Moon,1934,1655
93,Richard Freeman,Echoes of the Past,1767,4127
94,Lydia Martinez,Warrior's Heart,1696,2707
95,Albert Mills,Midnight Garden,1732,3493
96,Juan Thompson,Giver,1736,2595
97,Nancy Horton,Enigma of Love,1598,2100
98,Patrick Hall,Fire Within,1886,3860
99,Michael Martinez,Hunger Games,1788,3449
100,Kenneth May,Secret Society,1848,2429
101,Rosemary Lucas,Handmaid's Tale,1701,104
102,Howard Jenkins,Emerald Isle,1919,4490
103,Leah Manning,Da Vinci Code,1850,1303
104,Thomas Simmons,Dark Tower,1819,3564
105,Hazel Greer,Witching Hour,1960,4548
106,Maria Webb,Mists of Avalon,1883,833
107,Lauren Holland,Mirror of Truth,1553,184
108,Michael Smith,Beyond the Horizon,1738,3150
109,Connie Howell,Rising Sun,1544,1299
110,Rosemary Wright,Silver Lining,1798,1495
111,Hazel Greer,Lord of the Rings,1990,4349
112,James Ross,Song of Ice and Fire,1626,1237
113,Michelle Wis,Dark Tower,1569,3813
114,Patricia Meyer,Girl on the Train,1676,4891
115,Erin Gonzales,Kite Runner,1720,321
116,Ernest Torres,Secret Life of Bees,1987,4763
117,Evelyn Smith,Book Thief,1695,2957
118,Derrick Brady,Whispering Wind,1920,430
119,Megan Knight,Giver,1864,4967
120,Janet Baldwin,Twist of Fate,1932,2576
121,Connie Howell,Fault in Our Stars,1631,1231
122,Leonard Stevenson,Emerald Isle,1623,229
123,John Ryan,Kite Runner,2003,3402
124,Richard Garcia,Enchanted Princess,2000,3038
125,Rita Powell,Help,1852,1526
126,Albert Mills,Last Train Home,2012,3658
127,Jacqueline Brown,Emerald City,1550,1373
128,Tracey Walker,Glass Castle,1680,1519
129,Michelle Wis,Ruby Red Door,1818,2606
130,Jessie Bowman,Last Voyage,1756,1713
131,Anthony Davis,Girl with the Dragon Tattoo,1617,3515
132,Linda Ward,Lighthouse Keeper,1989,2354
133,Kevin Ellis,Forgotten Realm,1862,2243
134,Linda Ward,Secrets We Keep,1933,631
135,Teresa Ray,Da Vinci Code,1852,3177
136,Rita Powell,Kite Runner,1571,4072
137,William Hamilton,Dance with Destiny,1726,4971
138,Laura Hernandez,Silver Lining,1677,2713
139,Kimberly Medina,Ruby Red Door,2002,2602
140,Cindy Gilbert,Emerald Isle,1662,292
141,Wendy Walton,Lord of the Rings,2001,651
142,Rita Powell,Kite Runner,1938,4021
143,Wilma Jackson,Curse of the Pharaohs,1965,514
144,Charles Johnson,Night Circus,1598,4339
145,Thomas Simmons,Pirate's Treasure,1601,711
146,William Hamilton,Tears of the Moon,1964,335
147,Timothy Griffin,Witch of Blackbird Pond,1603,598
148,Mary Abbott,White Queen,1861,3270
149,Albert Mills,Fire Within,1906,1249
150,Judy Rose,Heart of the Forest,1660,4996
151,Kelly Franklin,Secrets We Keep,1755,2663
152,Emily Moore,Dragon's Eye,1921,4816
153,Hazel Greer,Book of Miracles,1543,1422
154,Barbara Farmer,Mirror of Truth,1572,3363
155,Thomas Cain,Dragon's Eye,1684,652
156,Maria Webb,Midnight Serenade,1907,1548
157,Sandra Craig,Fire Within,1848,4427
158,Jacqueline Brown,Twist of Fate,1817,3972
159,Wayne Morrison,Enchanted Princess,1648,2588
160,Dana Huff,Midnight Serenade,1794,2250
161,Lisa Rios,Secrets We Keep,1802,4295
162,Carol Sullivan,Song of Ice and Fire,1604,731
163,Lydia Martinez,Pirate's Treasure,1602,2958
164,Leonard Stevenson,Catcher in the Rye,1954,4187
165,Sandra Craig,Da Vinci Code,1552,2436
166,Jeffrey Williams,Lost Kingdom,1959,867
167,Daniel Craig,Enchanted Castle,1770,3528
168,Leonard Stevenson,Hunger Games,1609,3096
169,Virginia Jackson,Forbidden Forest,1587,2681
170,Patrick Hall,Crystal Caves,1761,164
171,Wilma Jackson,Fault in Our Stars,1905,4802
172,Carol Sullivan,Wonders of the World,1686,3387
173,Thomas Cain,Silence of the Lambs,1520,1947
174,Rosemary Lucas,Silver Lining,2013,1176
175,Jacqueline Brown,Mirror of Truth,1641,3760
176,Leah Manning,Enigma of Love,1838,1005
177,Anthony Lee,Song of Achilles,1692,1681
178,Sherry Bennett,Pirate's Treasure,1990,445
179,Michelle Wis,Blood Red Rose,1941,1904
180,Michelle Wis,Shades of Grey,1648,3467
181,Kenneth May,Help,1932,3519
182,Gary Johnson,Wonders of the World,1764,2628
183,Linda Ward,Handmaid's Tale,1672,1917
184,Ashley Doyle,Shades of Grey,1659,1791
185,Virginia Jackson,Dark Tower,1754,813
186,Randy Parker,Last Train Home,1948,1476
187,Edward May,Echoes of the Past,1602,2111
188,Daniel Craig,Phantom of the Opera,1966,362
189,Dana Huff,River of Dreams,1881,2241
190,Nancy Horton,Shac,2005,438
191,Carole Kelly,Enigma of Love,1616,1362
192,Sherry Bennett,Secret Life of Bees,1929,973
193,Ann Henderson,Forbidden Forest,1595,1616
194,Timothy Griffin,Glass Castle,1628,4476
195,Howard Jenkins,Girl with the Sapphire Eyes,1975,4004
196,Jeffrey Bowers,Girl on the Train,1889,3326
197,Sandra Craig,Lost City of Atlantis,1671,1317
198,Derrick Brady,Midnight Garden,1662,2285
199,Michelle Wis,Dragon's Eye,1621,3853
200,Rosemary Lucas,Edge of Tomorrow,1661,4260
201,Mary Graham,Lord of the Rings,1819,2762
202,Tracey Walker,Emerald City,1856,4541
203,Anthony Lee,Shac,1520,2741
204,Hazel Greer,Lighthouse Keeper,1830,2324
205,Paul Graham,Tears of the Moon,1857,260
206,Janet Baldwin,Forbidden Forest,1543,1556
207,Jessie Bowman,Dragon's Lair,1807,4833
208,Robert Barrett,Enchanted Castle,1536,4838
209,Thomas Simmons,Edge of Tomorrow,1667,259
210,Alberto Brown,Mask of Deception,1694,2213
211,Patricia Meyer,Curse of the Pharaohs,1835,4668
212,Megan Knight,Enchanted Castle,1846,2563
213,Ernest Torres,Witching Hour,1673,2326
214,Mary Abbott,Golden Child,1863,1976
215,Gary Johnson,Mists of Avalon,1896,2258
216,Nancy Horton,Midnight Carnival,1769,3593
217,Patricia Meyer,Golden Child,1918,4183
218,Anthony Davis,Silent Forest,1919,1139
219,Richard Freeman,Giver,1869,3527
220,Laura Hernandez,Rising Sun,1607,1769
221,Gary Johnson,Forbidden Forest,1845,4269
222,Ann Henderson,Giver,1799,4383
223,Laura Hernandez,Handmaid's Tale,1759,3474
224,Cindy Gilbert,Maze Runner,1583,831
225,Michelle Wis,Sands of Time,1832,4573
226,Tyrone Evans,Fire Within,1931,756
227,Lisa Rios,Kite Runner,1704,2227
228,Albert Mills,Handmaid's Tale,1819,2651
229,Thomas Simmons,Enigma of Love,1765,1422
230,James Ross,Heart of the Forest,1853,3088
231,Edward May,Warrior's Heart,1794,1796
232,William Ortiz,Enchanted Castle,1591,1175
233,Howard Jenkins,Shac,1765,3456
234,Tracey Walker,Twist of Fate,1578,3635
235,Gary Johnson,Secret Key,1675,831
236,Mary Graham,Book of Miracles,1521,1833
237,Gary Johnson,Time Traveler's Wife,1588,2512
238,William Doyle,Song of Ice and Fire,1611,427
239,Connie Howell,Island of Secrets,1553,1501
240,Randy Parker,Lighthouse Keeper,1969,3049
241,Helen Hernandez,Fire Within,1689,1898
242,Melissa Hall,Shac,1791,4982
243,Ashley Doyle,Edge of Tomorrow,1900,668
244,Juan Thompson,Emerald Isle,1731,112
245,Wayne Morrison,Clockwork Angel,1648,112
246,Jeffrey Williams,Emerald City,1963,4964
247,Michael Patterson,Maze Runner,1907,4188
248,Maria Webb,Cursed Castle,1826,2314
249,Paul White,Queen's Necklace,1584,3434
250,Patricia Meyer,Art of Deception,1733,973
251,Richard Garcia,Great Gatsby,1579,1887
252,Jeffrey Bowers,White Queen,2022,2793
253,Gregory Gibbs,Rising Sun,1950,362
254,Cindy Gilbert,Alchemist,1867,481
255,Rosemary Lucas,Phantom of the Opera,1786,4681
256,Diane Robbins,Wonders of the World,1551,1523
257,Jeffrey Bowers,Queen's Necklace,1503,2718
258,Linda Ward,Queen's Gambit,1985,760
259,Sherry Bennett,Beneath the Silver Moon,1986,406
260,Michael Patterson,Enchanted Princess,1849,4726
261,Emily Moore,Kite Runner,1576,4789
262,James Hill,Girl on the Train,1977,1765
263,Juan Thompson,Great Gatsby,1888,3170
264,Kevin Ellis,Silent Forest,1518,1188
265,Mary Graham,Emerald Isle,1983,4045
266,Michael Patterson,Fire Within,1792,3027
267,Deanna Owens,Last Voyage,1556,3229
268,Michelle Johnson,Lord of the Rings,1798,3663
269,Daniel Craig,Lost Kingdom,1802,4074
270,Linda Ward,Girl with the Dragon Tattoo,1541,1040
271,Bernard Brown,Giver,1744,2927
272,Janet Baldwin,Golden Child,1547,3446
273,Thomas Simmons,Phantom of the Opera,1692,2319
274,Howard Jenkins,Midnight Garden,1522,1235
275,Patrick Hall,Heart of the Forest,2006,4498
276,Richard Freeman,Giver,1860,3904
277,Victoria Brown,Secret Garden,1742,680
278,Beatrice Ortiz,Island of Secrets,1847,921
279,Randy Parker,Curse of the Pharaohs,1912,2300
280,Dana Huff,Valley of Dreams,2013,4710
281,Melissa Hall,Tears of a Clown,1879,3208
282,Randy Parker,Lost Kingdom,1715,4190
283,Jessie Bowman,Blood Red Rose,1834,3207
284,Jeffrey Bowers,Echoes of the Past,1976,4539
285,Eric Davis,Lost City of Atlantis,1648,1325
286,Thomas Cain,Girl on the Train,1762,4791
287,James Hill,River of Dreams,1623,369
288,William Doyle,Emerald City,1621,3263
289,Jeffrey Williams,Fire Within,2009,4360
290,Hazel Greer,Mirror of Truth,1992,3408
291,Emily Moore,Twist of Fate,1690,1841
292,Deanna Owens,Beneath the Silver Moon,1856,3152
293,Diane Robbins,Lost City of Atlantis,1772,3158
294,Sandra Craig,Mirror of Truth,1631,791
295,Beatrice Ortiz,Song of Ice and Fire,1532,1220
296,Michelle Wis,Secret Life of Bees,1579,485
297,Helen Hernandez,Da Vinci Code,1929,3902
298,Gregory Gibbs,Pirate's Treasure,1672,4870
299,Tyrone Evans,Secrets We Keep,1568,525
300,Wendy Walton,Island of Secrets,1746,2537
301,Gary Johnson,Art of Deception,1955,2729
302,Linda Ward,Song of Ice and Fire,1816,2516
303,Rosemary Wright,Golden Child,1719,2415
304,Gary Johnson,Phantom of the Opera,1655,3392
305,Anthony Lee,Hunger Games,1805,4819
306,Ashley Doyle,Queen's Gambit,1531,1647
307,Kevin Ellis,Lost Kingdom,1688,305
308,Ann Henderson,Beneath the Silver Moon,1891,2842
309,Sherry Bennett,Queen's Gambit,1733,4299
310,Leonard Stevenson,Mirror of Truth,1759,1516
311,Gregory Gibbs,Dragon's Lair,1841,3575
312,James Hill,Silver Lining,1712,2611
313,Paul White,Blood Red Rose,1952,2164
314,Leonard Stevenson,Lost City of Atlantis,1515,321
315,Michael Smith,Forbidden Forest,1801,1397
316,Frances Rose,Handmaid's Tale,1858,2660
317,Patricia Simpson,Dance with Destiny,1933,4193
318,James Ross,Shadow of the Moon,1531,3031
319,Gregory Gibbs,Secret Life of Bees,1867,3254
320,Anthony Davis,Maze Runner,1549,1658
321,Diane Robbins,Dragon's Eye,1831,2689
322,Rosemary Wright,Dance with Destiny,1956,3355
323,Deanna Owens,Queen's Necklace,1608,2137
324,Leonard Stevenson,Martian,1564,890
325,Ashley Doyle,Golden Compass,1616,1724
