,Author,Books,Year Published,Pages
0,Lauren Holland,Forbidden Forest,1536,587
1,Lydia Martinez,Girl on the Train,1640,3542
2,William Hamilton,Girl on the Train,1828,4493
3,Jacqueline Brown,Pirate's Treasure,1808,253
4,Derrick Brady,Warrior's Heart,1811,2259
5,Nancy Horton,Crystal Caves,1821,826
6,Ernest Torres,Glass Castle,2021,4007
7,Bernard Brown,Enigma of Love,1844,3816
8,Edward May,Witching Hour,1777,2817
9,Mary Graham,Heart of the Forest,1637,2897
10,Robert Barrett,Pirate's Treasure,1716,1093
11,Michael Smith,Blood of Our Fathers,1875,3853
12,Judy Rose,In the Arms of the Sea,1953,2051
13,Wendy Walton,Phantom of the Opera,1633,4337
14,Thomas Cain,Midnight Serenade,1948,4082
15,Carole Kelly,Golden Child,1720,528
16,Janet Baldwin,Edge of Tomorrow,1962,3644
17,Gary Johnson,Warrior's Heart,1709,4375
18,Patricia Simpson,Dragon's Roar,1663,2157
19,Gary Johnson,Queen's Gambit,1863,4313
20,Diana Terry,Valley of Dreams,2001,4131
21,Leah Manning,Time Traveler's Wife,1738,221
22,Christine Miles,Emerald Isle,1559,364
23,Nancy Horton,Giver,1502,4343
24,John Thomas,Girl on the Train,1880,4846
25,Robert Evans,Black Cat,2010,569
26,Michael Martinez,Maze Runner,1547,3460
27,Laura Hernandez,Moonlit Path,1909,3793
28,Deanna Owens,Help,1767,224
29,Michael Smith,Fire Within,1660,3965
30,Edward May,Catcher in the Rye,1512,2742
31,Edward May,Curse of the Pharaohs,1898,4942
32,Richard Garcia,Secret Society,1580,4096
33,William Ortiz,Lighthouse Keeper,1988,3818
34,Nancy Horton,Lost City of Atlantis,1541,3374
35,Edward May,Book Thief,1661,2489
36,Connie Howell,Edge of Tomorrow,1574,3297
37,Paul Graham,Wonders of the World,2019,2668
38,Leonard Stevenson,Cursed Castle,1931,588
39,Bernard Brown,Secret Society,1641,193
40,Paul Graham,Mists of Avalon,1865,973
41,Lisa Rios,Witch of Blackbird Pond,1621,4435
42,Christine Miles,Emerald Isle,1720,4618
43,Juan Thompson,Tears of a Clown,1739,3583
44,Timothy Griffin,Emerald Isle,1733,4869
45,Judy Rose,Kite Runner,1990,1117
46,Cindy Gilbert,Secret Key,1952,2094
47,Hazel Greer,Last Train Home,1817,4400
48,Jessie Bowman,Handmaid's Tale,1921,4086
49,Virginia Jackson,Shac,1558,2622
50,Jeffrey Williams,Fire Within,1707,3794
51,Virginia Jackson,Whispering Wind,2001,3257
52,Patricia Simpson,Midnight Carnival,1975,1319
53,Virginia Jackson,Forgotten Realm,1800,360
54,Wayne Morrison,In the Arms of the Sea,1710,3179
55,Melissa Hall,Pirate's Treasure,1872,1773
56,Victor Davis,Secret Key,1962,4284
57,Sherry Bennett,Silence of the Lambs,1539,3781
58,William Hamilton,Mask of Deception,1933,889
59,Mary Graham,Rising Sun,1646,2273
60,Tyrone Evans,Silent Forest,1932,4069
61,Bernard Brown,Art of Deception,1644,1113
62,Virginia Jackson,Lighthouse Keeper,1769,3657
63,Patricia Simpson,Secret Society,2015,689
64,Christine Miles,Tears of the Moon,1971,4872
65,Jessie Bowman,In the Arms of the Sea,1685,3694
66,Victoria Brown,Golden Compass,1659,2751
67,Edward May,Emerald Isle,1551,731
68,Kenneth May,Song of Ice and Fire,1954,3294
69,Wilma Jackson,Book Thief,1633,4557
70,Melissa Hall,Island of Secrets,1809,2958
71,Paul Graham,Shadows of the Night,1680,3857
72,Richard Freeman,Secrets We Keep,1912,1048
73,Janet Baldwin,Emerald City,1660,2461
74,James Hill,Shades of Grey,1825,3571
75,Alberto Brown,Tears of the Moon,1607,807
76,Tyrone Evans,Silver Lining,1557,316
77,Lisa Rios,White Queen,1857,4602
78,Jeffrey Williams,Art of Deception,1534,1762
79,Virginia Jackson,Beyond the Horizon,1988,242
80,Bernard Brown,Witching Hour,1943,3335
81,Kelly Franklin,Emerald City,1724,265
82,Diana Terry,Echoes of the Past,1795,4976
83,Robert Evans,Crystal Caves,1793,126
84,Beatrice Ortiz,Kite Runner,1694,1642
85,Mary Graham,Lovely Bones,1834,2846
86,Christine Miles,Fault in Our Stars,2011,602
87,Erin Gonzales,Mists of Avalon,1752,2293
88,Jeffrey Williams,Silent Forest,1800,209
89,Megan Knight,Dragon's Roar,1996,975
90,Jessie Bowman,Kite Runner,1504,2767
91,Tracey Walker,Whispers in the Dark,1636,859
92,Sandra Craig,Golden Child,1636,2399
93,Wayne Morrison,Blood Red Rose,1785,135
94,Leah Manning,Enigma of Love,1812,2026
95,Nancy Horton,Lovely Bones,1741,705
96,Frances Rose,Echoes of the Past,1996,746
97,Leonard Stevenson,Secret Life of Bees,1557,2012
98,Hazel Greer,Lost City of Atlantis,1573,4837
99,Richard Garcia,Da Vinci Code,1833,3220
