,Author,Books,Year Published,Pages
0,Thomas Simmons,Phantom of the Opera,1927,2727
1,Kevin Ellis,Road,1579,2364
2,Leah Manning,Wonders of the World,1886,1019
3,Michael Patterson,Emerald Isle,1599,3566
4,Beatrice Ortiz,Lovely Bones,1997,4277
5,Michelle Johnson,Lost City of Atlantis,1763,4935
6,Erin Gonzales,Secret Life of Bees,1668,3562
7,Leonard Stevenson,Moonlit Path,1573,3340
8,Delores Brown,Secret Life of Bees,1735,1306
9,Lydia Martinez,Fire Within,1999,3307
10,Evelyn Smith,Secrets We Keep,1675,1503
11,Eva Wright,Ruby Red Door,2008,3659
12,Juan Thompson,Sands of Time,1564,3093
13,Lydia Martinez,Whispers in the Dark,1541,1520
14,Barbara Farmer,Handmaid's Tale,1506,4854
15,Ashley Doyle,Kite Runner,1902,2390
16,Rosemary Lucas,Phantom of the Opera,1962,1719
17,Tyrone Evans,Valley of Dreams,1977,4190
18,Carol Sullivan,Black Cat,1986,1453
19,Connie Howell,Wonders of the World,1962,3796
20,Teresa Ray,Tears of the Moon,1952,3345
21,Ann Henderson,Lighthouse Keeper,1739,4524
22,Patricia Simpson,Shac,1999,1187
23,William Doyle,Last Voyage,2009,695
24,Albert Mills,Dragon's Eye,1962,3373
25,Wayne Morrison,Wonders of the World,1508,4380
26,Patricia Simpson,Glass Castle,1891,238
27,Howard Jenkins,Dragon's Roar,1960,3371
28,Mary Graham,Phantom of the Opera,1525,657
29,Leah Manning,Girl with the Sapphire Eyes,1922,4832
30,Christine Miles,Crystal Caves,1822,3723
31,Diane Robbins,Queen's Gambit,1863,4761
32,Ashley Doyle,Lighthouse Keeper,1520,1015
33,Beatrice Ortiz,Midnight Serenade,1510,2577
34,Jessie Bowman,Queen's Necklace,1958,1763
35,Diana Terry,Hunger Games,2017,1026
36,Gary Johnson,Blood Red Rose,1548,3765
37,Carole Kelly,Whispers in the Dark,1784,3023
38,Wayne Morrison,River of Dreams,1845,978
39,Carole Kelly,Art of Deception,1546,3728
40,James Hill,Cursed Castle,2018,1227
41,Dana Huff,Book of Miracles,1894,4359
42,William Ortiz,Catcher in the Rye,1862,2622
43,Anthony Lee,Secret Key,1710,3351
44,Leonard Stevenson,Lovely Bones,1970,3347
45,John Thomas,Ruby Red Door,1829,964
46,Connie Howell,Night Circus,1505,489
47,Ted Smith,Sands of Time,1754,187
48,Carol Sullivan,Island of Secrets,1715,2211
49,Michelle Wis,Help,1510,1993
50,Robert Evans,White Queen,1705,4757
51,Linda Ward,Witching Hour,1672,3919
52,Wilma Jackson,Shadows of the Night,1930,2721
53,Timothy Griffin,In the Arms of the Sea,1859,403
54,Daniel Craig,Road,1939,1442
55,Robert Evans,Golden Compass,1996,2793
56,William Hamilton,Beneath the Silver Moon,1579,4925
57,Frances Rose,Da Vinci Code,1853,744
58,Cindy Gilbert,Emerald Isle,1797,827
59,Kelly Franklin,Moonlit Path,1895,4682
60,Randy Parker,Blood of Our Fathers,1504,3034
61,Richard Garcia,Dragon's Eye,1611,3658
62,Anthony Lee,Queen's Gambit,1647,2577
63,Anthony Lee,Sands of Time,1993,4465
64,Kevin Ellis,Beyond the Horizon,2012,513
65,Rita Powell,Mask of Deception,1919,2611
66,Eric Davis,Forbidden Forest,1963,750
67,Patricia Simpson,Mists of Avalon,1670,4727
68,Rosemary Lucas,Song of Ice and Fire,1827,2913
69,Maria Webb,Pirate's Treasure,1567,430
70,Lauren Holland,Sands of Time,1994,1722
71,Victor Davis,Moonlit Path,1608,3948
72,Eric Davis,Help,1967,4051
73,James Ross,Clockwork Angel,1752,2302
74,Teresa Ray,Martian,1514,3763
75,Christine Miles,Cursed Castle,1643,4421
76,Paul Graham,Dragon's Eye,1615,3955
77,Dana Huff,Wonders of the World,1801,1783
